预测                                   目标
manufa                             |MANUFA
and                                |and
methode                            |METHODE
cannes                             |CANNES
and                                |AND
you                                |you
place                              |PLACE
company                            |COMPANY
granite                            |GRANITE
can                                |can
电话139                            |电话139
report                             |REPORT
hero                               |HERO
world                              |WORLD
our                                |our
be                                 |BE
sausage                            |sausage
railway                            |RAILWAY
your                               |your
居民委员会                         |居民委员会
when                               |WHEN
coffee                             |COFFEE
theatre                            |THEATRE
security                           |Security
long                               |Long
ya                                 |ya
plainfield                         |PLAINFIELD
card                               |CARD
bearing                            |BEARING
salsa                              |SALSA
nik                                |NIK
the                                |the
route                              |ROUTE
edge                               |EDGE
oregon                             |Oregon
liszt                              |LISZT
everton                            |everton
of                                 |OF
very                               |very
e                                  |e
not                                |not
born                               |born
to                                 |to
rubber                             |RUBBER
when                               |WHEn
vintage                            |Vintage
guard                              |GUARD
london                             |LONDON
point                              |POINT
johnson                            |Johnson
coffee                             |COFFEE
have                               |have
1893                               |1893
fire                               |FIRE
due                                |due
pub                                |PUB
bollards                           |Bollards
glyndon                            |GLYNDON
2012                               |2012
has                                |HAS
other                              |Other
distiller                          |distiller
tallest                            |TALLEST
hazard                             |hazard
mrt                                |MRT
est                                |Est
signs                              |Signs
morial                             |MORIAL
media                              |Media
fine                               |FINE
terry                              |TERRY
517                                |517
maluku                             |MALUKU
pak                                |PAk
25                                 |25
ark                                |ARK
the                                |THE
648-1874                           |648-1874
birkenstock                        |BIRKENSTOCK
quality                            |Quality
buckeyes                           |BUCKEYES
willow                             |Willow
in                                 |in
coming                             |COMING
team                               |TEAM
办公室                             |办公室
pisos                              |Pisos
and                                |and
church                             |Church
delicious                          |DELICIOUS
in                                 |in
offee                              |OFFEE
illustrator                        |illustrator
kyoto                              |KYOTO
of                                 |OF
1919-1993                          |1919-1993
drugs                              |DRUGS
died                               |DIED
trust                              |TRUST
jewish                             |Jewish
school                             |SCHOOL
he                                 |He
bosoms                             |BOSOMS
al                                 |AL
the                                |THE
barbe                              |BARBE
cake                               |CAKE
restoran                           |RESTORAN
in                                 |in
stick                              |STICk
english                            |ENGLISH
176                                |176
rigid                              |rigid
washing                            |WASHING
system                             |SYSTEM
theatre                            |theatre
1898                               |1898
is                                 |IS
big                                |Big
brands                             |BRANDS
the                                |the
glass                              |GLASS
are                                |are
sektorel                           |SEKTOREL
black                              |BLACK
di                                 |di
oldel                              |OLDEL
unison                             |UNISON
than                               |than
fundada                            |Fundada
bar                                |BAR
depuis                             |DEPUIS
moon                               |MOON
seafood                            |seafood
and                                |AND
valve                              |VALVE
gembira                            |GEMBIRA
helles                             |HELLES
26                                 |26
world                              |World
original                           |Original
class                              |CLASS
gau                                |GAU
boeing                             |BOEING
of                                 |of
the                                |THE
of                                 |OF
jumbo                              |JUMBO
beras                              |BERAS
boston                             |Boston
cafe                               |CAFE
aqua                               |AQUA
parish                             |PARISH
sag                                |saG
stories                            |stories
kalea                              |KALEA
established                        |ESTABLISHED
triple                             |TRIPLE
san                                |SAN
stanli                             |STANLI
given                              |given
fire                               |FIRE
ca                                 |CA
standard                           |STANDARD
services                           |SERVICES
standard                           |Standard
the                                |THE
table                              |table
k                                  |K
lemons                             |LEMONS
critic                             |CRITIC
27                                 |27
in                                 |in
and                                |and
offices                            |OFFICES
fee                                |FEE
new                                |NEW
washes                             |WASHES
london                             |LONDON
row                                |ROW
aa                                 |AA
leo                                |LEO
state                              |STATE
bus                                |Bus
floor                              |Floor
join                               |JOIN
pizzeria                           |PIZZERIA
bhawan                             |BHAWAN
caution                            |CAUTION
lingerie                           |LINGERIE
stout                              |STOUT
stout                              |STOUT
chicago                            |CHICAGO
are                                |ARE
chakra                             |CHAKRA
extra                              |Extra
fire                               |Fire
keropok                            |keropok
com                                |com
ack                                |ACk
their                              |their
lumpur                             |Lumpur
200                                |200
the                                |THE
owd                                |OWD
roadside                           |ROADSIDE
cats                               |CATS
penarth                            |PENARTH
playa                              |PLAYA
66                                 |66
high                               |High
author                             |author
vel                                |VEL
pluribus                           |PLURIBUS
in                                 |IN
yu                                 |YU
toys                               |TOYS
to                                 |to
30                                 |30
cut                                |Cut
fottler                            |FOTTLER
1956                               |1956
sundries                           |SUNDRIES
sheriff                            |SHERIFF
4200                               |4200
novedades                          |NOVEDADES
jahwa                              |Jahwa
350                                |350
it                                 |it
reference                          |reference
akes                               |akes
tel                                |TEL
here                               |HERE
mister                             |MISTER
not                                |not
teson                              |TESON
the                                |THE
papa                               |PAPA
twinings                           |TWININGS
later                              |later
cnjz                               |CNJZ
tao                                |TAO
noodle                             |Noodle
barbara                            |BARBARA
fish                               |FISH
hemlock                            |Hemlock
federal                            |Federal
bob                                |BOB
york                               |YORK
stop                               |Stop
daily                              |DAILY
island                             |ISLAND
city                               |CITY
call                               |CALL
福                                 |福
gunung                             |GUNUNG
ultra                              |ULTRA
better                             |Better
警务室                             |警务室
opal                               |OPAL
niang                              |NIANG
vote                               |VOTE
bar                                |BAR
the                                |the
par                                |PAR
hotel                              |HOTEL
the                                |THE
inc                                |Inc
union                              |UNION
coffee                             |COFFEE
james                              |JAMES
war                                |WAR
of                                 |OF
沙县小吃                           |沙县小吃
and                                |and
food                               |FOOD
small                              |SMALL
the                                |the
its                                |ITS
ambree                             |AMBREE
furniture                          |FURNITURE
brewery                            |BREWERY
k                                  |K
homemade                           |Homemade
be                                 |BE
amber                              |AMBER
is                                 |is
ub                                 |UB
northwest                          |Northwest
from                               |from
875                                |875
christian                          |Christian
stood                              |stood
the                                |The
14                                 |14
cents                              |CENTS
ho                                 |HO
enchanted                          |ENCHANTED
geely                              |GEELY
to                                 |To
something                          |SOMETHING
hatch                              |HATCH
rot                                |ROT
tour                               |TOUR
my                                 |MY
cocoanut                           |COCOANUT
of                                 |OF
burning                            |Burning
especial                           |ESPECIAL
roast                              |ROAST
item                               |ITEM
huge                               |huge
minn                               |MINN
accounts                           |accounts
since                              |SINCE
china                              |CHINA
market                             |MARKET
marks                              |MARKS
rev                                |Rev
it                                 |it
opened                             |OPENED
sd                                 |SD
brand                              |BRAND
endy                               |ENDY
car                                |CAR
degreaser                          |Degreaser
quality                            |QUALITY
drilling                           |DRILLING
scenic                             |SCENIC
66                                 |66
life                               |Life
38                                 |38
street                             |Street
may                                |May
weekly                             |WEEKLY
halal                              |HALAL
ctp                                |CTP
was                                |WAS
finest                             |FINEST
bank                               |Bank
33                                 |33
north                              |NORTH
delicacy                           |DELICACY
fish                               |FISH
bottom                             |BOTTOM
to                                 |to
theaters                           |THEATERS
tea                                |TEA
net                                |NET
cd                                 |CD
world                              |WORLD
pres                               |Pres
the                                |The
england                            |ENGLAND
fight                              |fight
lostworld                          |LOSTWORLD
cherries                           |Cherries
helping                            |helping
precious                           |PRECIOUS
sundaes                            |SUNDAES
expansion                          |Expansion
inn                                |INN
street                             |STREET
sign                               |SIGN
quality                            |Quality
fair                               |FAIR
engine                             |Engine
the                                |THE
rice                               |Rice
folk                               |FOLK
penang                             |PENANG
station                            |STATION
station                            |STATION
diana                              |DIANA
building                           |BUILDING
back                               |back
and                                |AND
division                           |DIVISION
calamine                           |Calamine
siemens                            |SIEMENS
dan                                |dan
hungarian                          |Hungarian
mission                            |MISSION
company                            |COMPANY
in                                 |In
band                               |Band
goldfish                           |Goldfish
twinings                           |TWININGS
fr                                 |FR
penalty                            |PENALTY
ron                                |Ron
madeley                            |MADELEY
official                           |Official
twins                              |Twins
shoulders                          |SHOULDERS
will                               |WILL
the                                |THE
vin                                |VIN
no.8                               |NO.8
school                             |SCHOOL
icbc                               |ICBC
gymnasium                          |GYMNASIUM
of                                 |of
